,doc9.txt,doc8.txt,doc10.txt,doc6.txt,doc7.txt,doc5.txt,doc4.txt,doc1.txt,doc3.txt,doc2.txt
the,1,1,1,1,1,1,1,1,1,1
dominating,1,0,0,0,0,0,0,0,0,0
factors,1,0,0,0,0,0,0,0,0,0
in,1,1,1,1,0,1,1,1,1,1
structural,1,0,0,0,0,0,0,0,0,0
design,1,0,0,0,0,0,0,0,0,0
of,1,1,1,1,1,1,1,1,1,1
high-speed,1,0,0,0,0,0,0,0,0,1
aircraft,1,0,0,0,0,0,0,0,0,0
are,1,1,0,0,0,0,1,0,1,0
thermal,1,0,0,0,0,0,0,0,1,0
and,1,1,1,1,1,1,1,1,1,1
aeroelastic,1,0,0,0,0,0,0,0,0,0
origin,1,0,0,0,0,0,0,0,0,0
.,1,1,1,1,1,1,1,1,1,1
subject,1,0,0,0,0,0,0,0,0,0
matter,1,0,0,0,0,0,0,0,0,0
is,1,1,1,1,1,1,1,0,1,1
concerned,1,0,0,0,0,0,0,0,0,0
largely,1,0,0,0,0,0,0,0,0,0
with,1,1,1,1,0,0,1,1,1,0
a,1,1,1,1,1,1,1,1,1,1
discussion,1,0,0,1,0,0,0,0,0,1
these,1,1,0,1,0,0,0,0,0,0
their,1,0,0,0,0,0,0,0,0,0
interrelation,1,0,0,0,0,0,0,0,0,0
one,1,1,0,0,0,0,0,0,1,0
another,1,1,0,0,0,0,0,0,0,0
summary,1,0,0,0,0,0,0,0,0,0
presented,1,0,0,0,0,0,0,0,0,0
some,1,0,0,0,0,1,0,0,0,0
analytical,1,0,0,0,0,0,0,0,0,0
experimental,1,1,0,0,0,0,0,1,0,0
tools,1,0,0,0,0,0,0,0,0,0
available,1,0,0,0,0,1,0,0,0,0
to,1,1,1,1,0,1,1,1,1,1
aeronautical,1,0,0,0,0,0,0,0,0,0
engineers,1,0,0,0,0,0,0,0,0,0
meet,1,0,0,0,0,0,0,0,0,0
demands,1,0,0,0,0,0,0,0,0,0
flight,1,0,0,0,0,0,0,0,0,0
upon,1,0,0,0,0,0,1,0,0,0
structures,1,0,0,0,0,0,0,0,0,0
state,1,0,0,0,0,0,0,0,0,0
art,1,0,0,0,0,0,0,0,0,0
respect,1,0,0,0,0,0,0,0,0,0
heat,1,0,0,0,0,0,0,0,1,0
transfer,1,0,0,0,0,0,0,0,0,0
from,1,0,1,0,1,1,1,0,0,1
boundary,1,0,0,1,0,0,1,0,0,1
layer,1,0,0,1,0,0,1,0,1,1
into,1,0,0,1,0,0,0,0,0,0
"structure,",1,0,0,0,0,0,0,0,0,0
modes,1,0,0,0,0,0,0,0,0,0
failure,1,0,0,0,0,0,0,0,0,0
under,1,0,1,0,0,0,0,0,0,0
combined,1,0,0,0,0,0,0,0,0,0
load,1,0,0,0,0,0,0,0,0,0
as,1,0,0,1,0,1,1,1,0,1
well,1,0,0,0,0,1,0,1,0,0
inputs,1,0,0,0,0,0,0,0,0,0
acrothermoelasticity,1,0,0,0,0,0,0,0,0,0
discussed,1,0,1,0,0,0,0,0,0,1
methods,1,0,0,0,0,0,0,0,0,0
attacking,1,0,0,0,0,0,0,0,0,0
alleviating,1,0,0,0,0,0,0,0,0,0
problems,1,1,0,0,0,0,0,0,0,0
summarized,1,0,0,0,0,0,0,0,0,0
"finally,",1,0,0,0,0,0,0,0,0,0
avenues,1,0,0,0,0,0,0,0,0,0
fundamental,1,0,0,0,0,0,0,0,0,0
research,1,1,0,0,0,0,0,0,0,0
suggested,1,0,0,0,0,0,0,0,0,0
there,0,1,0,0,0,0,0,0,0,1
are,1,1,0,0,0,0,1,0,1,0
in,1,1,1,1,0,1,1,1,1,1
supersonic,0,1,0,0,0,0,1,0,0,0
aerodynamics,0,1,0,0,0,0,0,0,0,0
many,0,1,0,0,0,0,0,0,0,0
situations,0,1,0,0,0,0,0,0,0,0
of,1,1,1,1,1,1,1,1,1,1
practical,0,1,0,0,0,0,0,0,0,0
interest,0,1,0,0,0,0,0,0,0,0
wherein,0,1,0,0,0,0,0,0,0,0
streams,0,1,0,0,0,0,0,0,0,0
different,0,1,0,0,0,0,0,1,0,1
velocities,0,1,0,0,0,0,0,0,0,0
"and,",0,1,0,0,0,1,0,0,0,0
"general,",0,1,0,0,0,0,0,0,0,0
stagnation,0,1,0,0,0,0,0,0,0,0
pressures,0,1,0,0,1,0,0,0,0,0
mix,0,1,0,0,0,0,0,0,0,0
with,1,1,1,1,0,0,1,1,1,0
one,1,1,0,0,0,0,0,0,1,0
another,1,1,0,0,0,0,0,0,0,0
.,1,1,1,1,1,1,1,1,1,1
the,1,1,1,1,1,1,1,1,1,1
majority,0,1,0,0,0,0,0,0,0,0
these,1,1,0,1,0,0,0,0,0,0
problems,1,1,0,0,0,0,0,0,0,0
interaction,0,1,0,0,0,0,0,0,0,0
between,0,1,0,1,1,1,0,0,0,1
two,0,1,0,0,0,0,0,0,0,0
takes,0,1,0,0,0,0,0,0,0,0
place,0,1,0,0,0,0,0,0,0,0
presence,0,1,0,0,0,0,0,0,0,0
an,0,1,0,1,1,1,0,1,0,1
axial,0,1,0,0,0,0,0,0,0,0
pressure,0,1,0,0,0,0,0,0,0,0
gradient,0,1,1,0,0,0,0,0,0,0
its,0,1,0,0,0,0,0,0,0,0
effect,0,1,0,1,0,1,1,1,0,0
on,0,1,1,1,0,1,1,0,0,0
characteristics,0,1,0,0,0,0,0,0,0,0
mixing,0,1,0,0,0,0,0,0,0,0
